"county_gdp","Year","State","County","counties_with_highest_gdp"
5.44566e+11,2012,"New York","New York",5.44566e+11
5.50159e+11,2005,"California","Los Angeles",5.50159e+11
5.63313e+11,2014,"New York","New York",5.63313e+11
5.64544e+11,2009,"California","Los Angeles",5.64544e+11
5.73529e+11,2015,"New York","New York",5.73529e+11
5.74282e+11,2006,"California","Los Angeles",5.74282e+11
5.76056e+11,2010,"California","Los Angeles",5.76056e+11
5.81246e+11,2007,"California","Los Angeles",5.81246e+11
5.85657e+11,2016,"New York","New York",5.85657e+11
5.88098e+11,2011,"California","Los Angeles",5.88098e+11
5.92301e+11,2008,"California","Los Angeles",5.92301e+11
5.94533e+11,2012,"California","Los Angeles",5.94533e+11
6.00244e+11,2018,"New York","New York",6.00244e+11
6.01465e+11,2017,"New York","New York",6.01465e+11
6.08065e+11,2013,"California","Los Angeles",6.08065e+11
6.26603e+11,2014,"California","Los Angeles",6.26603e+11
6.53885e+11,2015,"California","Los Angeles",6.53885e+11
6.67706e+11,2016,"California","Los Angeles",6.67706e+11
6.88662e+11,2017,"California","Los Angeles",6.88662e+11
7.10893e+11,2018,"California","Los Angeles",7.10893e+11
