"total_gdp_yearly","Year","State","state_with_highest_gdp"
1652917964000,2017,"Texas",1652917964000
1705688782000,2001,"California",1705688782000
1723693999000,2018,"Texas",1723693999000
1749474385000,2002,"California",1749474385000
1830659881000,2003,"California",1830659881000
1907768647000,2004,"California",1907768647000
1995847450000,2005,"California",1995847450000
2029130589000,2009,"California",2029130589000
2058857535000,2010,"California",2058857535000
2077501498000,2006,"California",2077501498000
2091690827000,2011,"California",2091690827000
2107688171000,2007,"California",2107688171000
2115498064000,2008,"California",2115498064000
2144496819000,2012,"California",2144496819000
2220944271000,2013,"California",2220944271000
2312905037000,2014,"California",2312905037000
2428986518000,2015,"California",2428986518000
2501334557000,2016,"California",2501334557000
2611384892000,2017,"California",2611384892000
2723055904000,2018,"California",2723055904000
